goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,season,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
2,4,0.867835641,90,AMR,Bournemouth,Liverpool,0,2,2025-02-01,2024,0.204263061,0,2,1,0.106666766,1.616778255,1.305848479
1,3,0.409520328,90,AMR,Liverpool,Ipswich,4,1,2025-01-25,2024,0.084178716,0,1,1,0.409520328,1.099812388,0.606113315
0,3,0.267979831,90,AMR,Brentford,Liverpool,0,2,2025-01-18,2024,1.0072335,0,7,0,0.267979831,1.917147517,0.763453841
0,6,0.390731186,90,AMR,Nottingham Forest,Liverpool,1,1,2025-01-14,2024,0.54871577,0,4,0,0.390731186,0.853634477,0
1,4,1.014381409,90,AMR,Liverpool,Manchester United,2,2,2025-01-05,2024,0.396767169,0,2,0,0.253212571,0.65500164,0.194240913
1,7,1.682127237,90,AMR,West Ham,Liverpool,0,5,2024-12-29,2024,1.13563776,2,4,1,1.682127237,2.300788879,0.050972711
1,5,0.532025874,90,AMR,Liverpool,Leicester,3,1,2024-12-26,2024,0.16194357,0,2,1,0.532025874,1.555321455,1.001681805
2,7,2.203443527,89,AMR,Tottenham,Liverpool,3,6,2024-12-22,2024,0.819554746,2,3,2,2.203443527,3.112522602,0.089524381
0,4,0.234681517,90,FWR,Liverpool,Fulham,2,2,2024-12-14,2024,0.488495708,1,1,0,0.234681517,1.064436197,0.376312912
2,4,0.763493896,90,AMR,Newcastle United,Liverpool,3,3,2024-12-04,2024,0.224453837,1,3,2,0.763493896,1.087327957,0.218172908
1,3,1.178461671,87,AMR,Liverpool,Manchester City,2,0,2024-12-01,2024,0.955014467,1,1,0,0.417292833,1.550561428,0.178254053
2,7,1.66705811,90,AMR,Southampton,Liverpool,2,3,2024-11-24,2024,0.042311694,0,1,1,0.905889273,1.007932901,0.059731983
1,3,0.775654495,90,AMR,Liverpool,Aston Villa,2,0,2024-11-09,2024,0.971413314,1,2,1,0.775654495,1.747067809,0
1,3,0.397991866,90,AMR,Liverpool,Brighton,2,1,2024-11-02,2024,0.150375098,0,2,1,0.397991866,0.564260483,0.015893523
1,3,0.670917213,90,AMR,Arsenal,Liverpool,2,2,2024-10-27,2024,0.031058989,0,1,1,0.670917213,0.79429549,0.092319287
1,2,0.792790711,90,AMR,Liverpool,Chelsea,2,1,2024-10-20,2024,0.721142948,1,2,0,0.031621892,0.752764881,0.051869668
0,2,0.379302531,75,AMR,Crystal Palace,Liverpool,0,1,2024-10-05,2024,0,0,0,0,0.379302531,0.86024946,0.480946928
1,3,1.154899955,90,AMR,Wolverhampton Wanderers,Liverpool,1,2,2024-09-28,2024,0.078764342,0,2,0,0.393731117,0.472495466,0
0,4,0.45557636,90,AMR,Liverpool,Bournemouth,3,0,2024-09-21,2024,0.431140989,1,6,0,0.45557636,2.065436363,1.296252012
0,3,0.14055711,90,AMR,Liverpool,Nottingham Forest,0,1,2024-09-14,2024,0.082458742,0,1,0,0.14055711,0.922093332,0.699077487
1,3,0.523094177,90,AMR,Manchester United,Liverpool,0,3,2024-09-01,2024,1.175806999,2,3,1,0.523094177,1.909658432,0.264693499
1,3,0.433250517,85,AMR,Liverpool,Brentford,2,0,2024-08-25,2024,0,0,0,1,0.433250517,1.800590754,1.367340207
1,4,1.096735001,90,AMR,Ipswich,Liverpool,0,2,2024-08-17,2024,0.477153063,1,2,1,1.096735001,1.611644149,0.5260607
0,7,1.535240412,90,FWR,Liverpool,Wolverhampton Wanderers,2,0,2024-05-19,2023,0,0,0,0,1.535240412,1.51140523,0.229145244
0,1,0.062498156,90,FWR,Aston Villa,Liverpool,3,3,2024-05-13,2023,0.468181044,0,2,0,0.062498156,0.619313359,0.144205421
1,6,1.520080924,90,FWR,Liverpool,Tottenham,4,2,2024-05-05,2023,0.373781204,1,3,1,1.520080924,1.977646828,0.083784737
0,0,0,8,Sub,West Ham,Liverpool,2,2,2024-04-27,2023,0,0,0,0,0,0.031507198,0.031507198
0,7,0.438845277,90,FWR,Everton,Liverpool,2,0,2024-04-24,2023,0.39692989,0,1,0,0.438845277,1.23906076,0.425191045
0,0,0,12,Sub,Fulham,Liverpool,1,3,2024-04-21,2023,0,0,0,0,0,0,0
0,2,0.628785074,90,FWR,Liverpool,Crystal Palace,0,1,2024-04-14,2023,0.162522942,0,5,0,0.628785074,0.733293474,0.083327055
1,6,1.331448913,90,FWR,Manchester United,Liverpool,2,2,2024-04-07,2023,0.396973729,0,3,0,0.570280135,1.978503346,1.125369668
0,3,0.113160789,64,FWR,Liverpool,Sheffield United,3,1,2024-04-04,2023,0.047723163,0,1,0,0.113160789,0.33235392,0.19203262
1,12,1.801887989,90,FWR,Liverpool,Brighton,2,1,2024-03-31,2023,0.055057265,0,1,1,1.801887989,2.067778349,0.266463369
0,3,0.157976165,27,Sub,Liverpool,Manchester City,1,1,2024-03-10,2023,0.263272375,0,1,0,0.157976165,0.335748434,0.024444727
1,2,0.741024792,47,Sub,Brentford,Liverpool,1,4,2024-02-17,2023,0.589123726,1,2,1,0.741024792,1.36814189,0.037993357
2,6,2.356532097,90,FWR,Liverpool,Newcastle United,4,2,2024-01-01,2023,1.607538581,1,4,1,0.834194362,3.640939951,1.612078309
0,3,0.285709471,90,FWR,Burnley,Liverpool,0,2,2023-12-26,2023,0,0,0,0,0.285709471,0.444901168,0.159191683
1,3,0.195788532,90,FWR,Liverpool,Arsenal,1,1,2023-12-23,2023,0.529102921,0,2,1,0.195788532,0.724891424,0
0,6,0.346413881,90,FWR,Liverpool,Manchester United,0,0,2023-12-17,2023,0.258033395,0,5,0,0.346413881,0.76376164,0.258458495
1,3,0.259952515,90,FWR,Crystal Palace,Liverpool,1,2,2023-12-09,2023,0.025177233,1,1,1,0.259952515,0.313701779,0.139103994
0,4,0.473201334,73,FWR,Sheffield United,Liverpool,0,2,2023-12-06,2023,0.044973411,0,1,0,0.473201334,0.177427575,0
0,2,0.986044288,90,FWR,Liverpool,Fulham,4,3,2023-12-03,2023,0.84771806,1,5,0,0.986044288,1.121796489,0
0,0,0,90,FWR,Manchester City,Liverpool,1,1,2023-11-25,2023,0.266398758,1,3,0,0,0.266398758,0
2,3,0.979324698,90,FWR,Liverpool,Brentford,3,0,2023-11-12,2023,0.078546338,0,1,2,0.979324698,1.057870984,0
0,2,0.563755989,90,FWR,Luton,Liverpool,1,1,2023-11-05,2023,0.970745921,0,3,0,0.563755989,1.510582924,0.042545382
1,3,0.185812473,90,FWR,Liverpool,Nottingham Forest,3,0,2023-10-29,2023,0.160022691,0,2,1,0.185812473,1.127517462,0.903952241
2,4,1.314594626,90,FWR,Liverpool,Everton,2,0,2023-10-21,2023,0.076501109,0,3,1,0.553499997,0.821339726,0.220140532
2,5,1.51772356,90,FWR,Brighton,Liverpool,2,2,2023-10-08,2023,0.057653707,0,1,1,0.756554723,0.859319627,0.045111205
0,1,0.02260302,81,FWR,Tottenham,Liverpool,2,1,2023-09-30,2023,0.626958251,0,2,0,0.02260302,0.677334428,0.562088609
1,5,1.002189398,90,FWR,Liverpool,West Ham,3,1,2023-09-24,2023,0.948169529,0,2,0,0.241020605,1.212869167,0.458871871
0,1,0.069669619,90,FWR,Wolverhampton Wanderers,Liverpool,1,3,2023-09-16,2023,1.531726956,2,5,0,0.069669619,2.232311726,0.703751981
1,4,0.786287427,90,FWR,Liverpool,Aston Villa,3,0,2023-09-03,2023,0.732482195,0,2,1,0.786287427,1.00058794,0.520201623
0,2,0.157831535,90,FWR,Newcastle United,Liverpool,1,2,2023-08-27,2023,0.369876146,1,2,0,0.157831535,0.527707696,0
1,5,1.899014831,90,FWR,Liverpool,Bournemouth,3,1,2023-08-19,2023,0.051902682,0,2,1,1.137845993,0.501648188,0
0,3,0.207876608,84,FWR,Chelsea,Liverpool,1,1,2023-08-13,2023,0.394951224,1,1,0,0.207876608,0.697434366,0.094606549
0,8,1.418127656,90,FWR,Southampton,Liverpool,4,4,2023-05-28,2022,0.344739795,1,2,0,1.418127656,1.784089446,0.158363923
0,2,0.089303784,90,FWR,Liverpool,Aston Villa,1,1,2023-05-20,2022,0.56863749,1,1,0,0.089303784,0.089303784,0
0,5,0.826393366,90,FWR,Leicester,Liverpool,0,3,2023-05-15,2022,0.549301744,3,4,0,0.826393366,1.413774133,0.038079005
1,3,1.024654984,90,FWR,Liverpool,Brentford,1,0,2023-05-06,2022,0.281746268,0,3,1,1.024654984,0.365592957,0.083846688
1,3,1.177306414,85,FWR,Liverpool,Fulham,1,0,2023-05-03,2022,0.166046992,0,2,0,0.416137576,0.710179031,0.439773619
1,3,0.916294932,90,FWR,Liverpool,Tottenham,4,3,2023-04-30,2022,0,0,0,0,0.15512611,1.078234315,1.013684273
0,3,0.100331016,90,FWR,West Ham,Liverpool,1,2,2023-04-26,2022,0.070485264,0,1,0,0.100331016,0.828447282,0.65763104
1,3,0.636821032,90,FWR,Liverpool,Nottingham Forest,3,2,2023-04-22,2022,0.123797201,0,2,1,0.636821032,0.123797201,0
2,3,0.526161015,83,FWR,Leeds,Liverpool,1,6,2023-04-17,2022,0,0,0,2,0.526161015,1.66099,1.134829998
1,10,2.65602994,90,FWR,Liverpool,Arsenal,2,2,2023-04-09,2022,0.352512985,0,2,1,1.894860029,2.684259892,0.456912011
0,0,0,22,Sub,Chelsea,Liverpool,0,0,2023-04-04,2022,0,0,0,0,0,0,0
1,2,0.175053999,72,FWR,Manchester City,Liverpool,4,1,2023-04-01,2022,0.079177998,0,1,1,0.175053999,0.318170995,0.063939497
0,2,0.829308987,90,FWR,Bournemouth,Liverpool,1,0,2023-03-11,2022,0,0,0,0,0.068140499,0.388054013,0.319913
2,3,0.622488022,90,FWR,Liverpool,Manchester United,7,0,2023-03-05,2022,0.542257011,2,3,2,0.622488022,1.849529982,0.684781015
1,2,0.712597013,90,FWR,Liverpool,Wolverhampton Wanderers,2,0,2023-03-01,2022,0.107428998,0,1,1,0.712597013,0.909469008,0.196871996
0,3,0.265388995,90,FWR,Crystal Palace,Liverpool,0,0,2023-02-25,2022,0.464919001,0,3,0,0.265388995,0.730307996,0
0,2,0.167750001,90,FWR,Newcastle United,Liverpool,0,2,2023-02-18,2022,0.573321998,1,1,0,0.167750001,0.999373019,0.346002996
1,6,0.95984298,90,FWR,Liverpool,Everton,2,0,2023-02-13,2022,0.092918001,0,1,1,0.95984298,1.007470012,0.226520002
0,2,0.171860993,90,FWR,Wolverhampton Wanderers,Liverpool,3,0,2023-02-04,2022,0,0,0,0,0.171860993,0.47527501,0.303413004
0,1,0.056375898,90,FWR,Liverpool,Chelsea,0,0,2023-01-21,2022,0.088834703,0,1,0,0.056375898,0.272673994,0.127462998
0,1,0.034962401,90,FWR,Brighton,Liverpool,3,0,2023-01-14,2022,0.064734697,0,1,0,0.034962401,0.482192993,0.382495999
0,1,0.057170101,90,FWR,Brentford,Liverpool,3,1,2023-01-02,2022,0.814145029,0,2,0,0.057170101,0.871315002,0
0,4,0.746410012,90,FWR,Liverpool,Leicester,2,1,2022-12-30,2022,0.278665006,0,1,0,0.746410012,1.090839982,0.0657681
1,3,1.105389953,90,FWR,Aston Villa,Liverpool,1,3,2022-12-26,2022,0.403378993,1,4,1,1.105389953,0.955226004,0
0,4,0.909489989,90,FWR,Liverpool,Southampton,3,1,2022-11-12,2022,0,0,0,0,0.909489989,1.347139955,0.437646002
2,3,0.999270976,90,FW,Tottenham,Liverpool,1,2,2022-11-06,2022,0,0,0,2,0.999270976,1.024639964,0.0253662
1,7,0.768260002,90,FW,Liverpool,Leeds,1,2,2022-10-29,2022,0.306616992,0,1,1,0.768260002,0.791824996,0.163774997
0,4,0.307518005,90,FW,Nottingham Forest,Liverpool,1,0,2022-10-22,2022,0.061845001,0,1,0,0.307518005,0.307518005,0
0,6,0.536758006,90,MR,Liverpool,West Ham,1,0,2022-10-19,2022,0.047464799,0,1,0,0.536758006,0.599134982,0.0149123
1,3,0.725636005,90,AMC,Liverpool,Manchester City,1,0,2022-10-16,2022,0,0,0,1,0.725636005,0.725636005,0
0,1,0.036747299,75,AMR,Arsenal,Liverpool,3,2,2022-10-09,2022,0.037465598,0,1,0,0.036747299,0.074212901,0
0,5,0.678263009,90,FWR,Liverpool,Brighton,3,3,2022-10-01,2022,0.304859012,1,1,0,0.678263009,0.94906801,0
